  full_name,2022/23 ,2022/23(*)
Udoka Azubuike,"$2,075,880 ","$2,331,170 "
Jaden McDaniels,"$2,063,280 ","$2,317,020 "
Malachi Flynn,"$2,048,040 ","$2,299,906 "
DeMarcus Cousins,"$2,038,942 ","$2,289,689 "
Cam Thomas,"$2,036,280 ","$2,286,700 "
Desmond Bane,"$2,033,160 ","$2,283,196 "
Jaden Springer,"$2,023,680 ","$2,272,550 "
Day'Ron Sharpe,"$2,009,160 ","$2,256,245 "
Abdel Nader,"$2,000,000 ","$2,245,958 "
Kenrich Williams,"$2,000,000 ","$2,245,958 "
Theo Maledon,"$2,000,000 ","$2,245,958 "
Jeremiah Robinson-Earl,"$2,000,000 ","$2,245,958 "
Jordan McLaughlin,"$2,000,000 ","$2,245,958 "
Garrison Mathews,"$2,000,000 ","$2,245,958 "
Santiago Aldama,"$1,994,520 ","$2,239,804 "
Damian Jones,"$1,977,011 ","$2,220,142 "
Wesley Matthews,"$1,958,495 ","$2,199,349 "
Rodney McGruder,"$1,939,350 ","$2,177,850 "
Timothe Luwawu,"$1,939,350 ","$2,177,850 "
Moses Brown,"$1,933,909 ","$2,171,739 "
Wesley Iwundu,"$1,926,834 ","$2,163,794 "
Jose Alvarado,"$1,925,406 ","$2,162,191 "
PJ Dozier,"$1,910,860 ","$2,145,856 "
Damion Lee,"$1,910,860 ","$2,145,856 "
Killian Tillie,"$1,901,625 ","$2,135,485 "
Tyrell Terry,"$1,869,438 ","$2,099,339 "
Larry Sanders,"$1,865,546 ","$2,094,969 "
Carsen Edwards,"$1,859,365 ","$2,088,027 "
Shake Milton,"$1,846,738 ","$2,073,848 "
Mitchell Robinson,"$1,802,057 ","$2,023,672 "
Jalen Brunson,"$1,802,057 ","$2,023,672 "
Dennis Smith,"$1,789,256 ","$2,009,297 "
Malik Monk,"$1,789,256 ","$2,009,297 "
Semi Ojeleye,"$1,789,256 ","$2,009,297 "
Frank Ntilikina,"$1,789,256 ","$2,009,297 "
Tony Bradley,"$1,789,256 ","$2,009,297 "
Didi Louzada,"$1,786,878 ","$2,006,627 "
Daniel Gafford,"$1,782,621 ","$2,001,846 "
Eric Paschall,"$1,782,621 ","$2,001,846 "
KZ Okpala,"$1,782,621 ","$2,001,846 "
Luguentz Dort,"$1,782,621 ","$2,001,846 "
Isaiah Roby,"$1,782,621 ","$2,001,846 "
Naz Reid,"$1,782,621 ","$2,001,846 "
Jaylen Nowell,"$1,782,621 ","$2,001,846 "
Terance Mann,"$1,782,621 ","$2,001,846 "
Bruno Fernando,"$1,782,621 ","$2,001,846 "
Kevin Porter,"$1,782,621 ","$2,001,846 "
Vlatko Cancar,"$1,782,621 ","$2,001,846 "
Dean Wade,"$1,782,621 ","$2,001,846 "
Cody Martin,"$1,782,621 ","$2,001,846 "
Jalen McDaniels,"$1,782,621 ","$2,001,846 "
Nicolas Claxton,"$1,782,621 ","$2,001,846 "
Yuta Watanabe,"$1,762,796 ","$1,979,583 "
Chimezie Metu,"$1,762,796 ","$1,979,583 "
Armoni Brooks,"$1,739,065 ","$1,952,933 "
Isaac Bonga,"$1,729,217 ","$1,941,874 "
Sviatoslav Mykhailiuk,"$1,729,217 ","$1,941,874 "
Keita Bates-Diop,"$1,729,217 ","$1,941,874 "
Moritz Wagner,"$1,729,217 ","$1,941,874 "
Thanasis Antetokounmpo,"$1,729,217 ","$1,941,874 "
Isaiah Hartenstein,"$1,729,217 ","$1,941,874 "
Oshae Brissett,"$1,701,593 ","$1,910,853 "
Juan Toscano-Anderson,"$1,701,593 ","$1,910,853 "
Herb Jones,"$1,700,000 ","$1,909,064 "
Gabriel Deck,"$1,690,507 ","$1,898,404 "
Gabe Vincent,"$1,669,178 ","$1,874,452 "
Max Strus,"$1,669,178 ","$1,874,452 "
Gary Payton II,"$1,669,178 ","$1,874,452 "
Javonte Green,"$1,669,178 ","$1,874,452 "
Matt Thomas,"$1,669,178 ","$1,874,452 "
Robert Woodard,"$1,619,015 ","$1,818,120 "
Lance Stephenson,"$1,614,825 ","$1,813,414 "
Daniel Oturu,"$1,603,559 ","$1,800,763 "
Deividas Sirvydis,"$1,603,559 ","$1,800,763 "
Kevin Pangos,"$1,569,178 ","$1,762,154 "
Bismack Biyombo,"$1,518,213 ","$1,704,921 "
Vernon Carey,"$1,517,981 ","$1,704,661 "
Anthony Gill,"$1,517,981 ","$1,704,661 "
Tre Jones,"$1,517,981 ","$1,704,661 "
Jahmi'us Ramsey,"$1,517,981 ","$1,704,661 "
Elijah Hughes,"$1,517,981 ","$1,704,661 "
CJ Elleby,"$1,517,981 ","$1,704,661 "
Isaiah Joe,"$1,517,981 ","$1,704,661 "
Paul Reed,"$1,517,981 ","$1,704,661 "
Naji Marshall,"$1,517,981 ","$1,704,661 "
Jordan Nwora,"$1,517,981 ","$1,704,661 "
Xavier Tillman,"$1,517,981 ","$1,704,661 "
Sam Merrill,"$1,517,981 ","$1,704,661 "
Jae'Sean Tate,"$1,517,981 ","$1,704,661 "
KJ Martin,"$1,517,981 ","$1,704,661 "
Lamar Stevens,"$1,517,981 ","$1,704,661 "
Nick Richards,"$1,517,981 ","$1,704,661 "
Isaiah Todd,"$1,500,000 ","$1,684,469 "
Omer Yurtseven,"$1,489,065 ","$1,672,189 "
Saben Lee,"$1,489,065 ","$1,672,189 "
JR Smith,"$1,456,667 ","$1,635,806 "
Stanley Johnson,"$1,368,998 ","$1,537,355 "
Duane Washington Jr,"$1,346,676 ","$1,512,289 "
Aaron Wiggins,"$1,305,761 ","$1,466,342 "
Marquese Chriss,"$1,292,900 ","$1,451,900 "
JT Thor,"$1,250,000 ","$1,403,724 "
DeMarre Carroll,"$1,242,340 ","$1,395,122 "
Jabari Parker,"$1,168,286 ","$1,311,961 "
Alfonzo McKinnie,"$1,090,007 ","$1,224,055 "
Zhaire Smith,"$1,068,200 ","$1,199,566 "
Jason Preston,"$1,062,303 ","$1,192,944 "
Isaiah Livers,"$1,057,260 ","$1,187,281 "
Denzel Valentine,"$1,005,633 ","$1,129,305 "
Alize Johnson,"$1,003,740 ","$1,127,178 "
Kyle Singler,"$999,200 ","$1,122,080 "
Kelan Martin,"$993,760 ","$1,115,971 "
Miye Oni,"$946,261 ","$1,062,631 "
Jared Butler,"$925,258 ","$1,039,045 "
Dalano Banton,"$925,258 ","$1,039,045 "
Jock Landale,"$925,258 ","$1,039,045 "
Greg Brown,"$925,258 ","$1,039,045 "
Charles Bassey,"$925,258 ","$1,039,045 "
Vit Krejci,"$925,258 ","$1,039,045 "
Miles McBride,"$925,258 ","$1,039,045 "
Austin Reaves,"$925,258 ","$1,039,045 "
BJ Boston,"$925,258 ","$1,039,045 "
Luka Garza,"$925,258 ","$1,039,045 "
Marko Simonovic,"$925,258 ","$1,039,045 "
Ayo Dosunmu,"$925,258 ","$1,039,045 "
Daishen Nix,"$923,078 ","$1,036,597 "
Isaiah Thomas,"$910,926 ","$1,022,949 "
Terry Taylor,"$895,125 ","$1,005,206 "
Mamadi Diakite,"$869,078 ","$975,956 "
Caleb Martin,"$844,011 ","$947,806 "
Brad Wanamaker,"$814,918 ","$915,135 "
Luke Kornet,"$812,364 ","$912,267 "
Wayne Selden,"$812,363 ","$912,266 "
Gary Clark,"$811,213 ","$910,975 "
Ryan Arcidiacono,"$774,727 ","$870,002 "
Trendon Watford,"$768,830 ","$863,380 "
Patrick Patterson,"$737,067 ","$827,711 "
Devontae Cacok,"$726,128 ","$815,426 "
Admiral Schofield,"$723,741 ","$812,745 "
Ishmail Wainright,"$707,893 ","$794,948 "
Shaun Livingston,"$666,666 ","$748,652 "
Malik Fitts,"$630,874 ","$708,457 "
Sam Hauser,"$619,498 ","$695,683 "
Greg Monroe,"$612,805 ","$688,165 "
Amir Coffey,"$573,576 ","$644,114 "
Joe Wieskamp,"$563,663 ","$632,981 "
Keifer Sykes,"$558,345 ","$627,009 "
Haywood Highsmith,"$547,701 ","$615,056 "
Nik Stauskas,"$534,993 ","$600,785 "
Davon Reed,"$532,398 ","$597,871 "
Wenyen Gabriel,"$522,015 ","$586,210 "
Skylar Mays,"$510,907 ","$573,738 "
Georgios Kalaitzakis,"$499,852 ","$561,322 "
RJ Nembhard,"$491,876 ","$552,366 "
Chris Silva,"$479,650 ","$538,636 "
Trent Forrest,"$463,211 ","$520,176 "
